SKU,Name,Style,Category,Occasion,Vase,Stem Count,Flowers / recipe,Palette,Visual Notes,Image Prompt,Price
SYM-01-PEACEFUL-WHITE,Peaceful White Tribute,classic,Sympathy,Sympathy,"8"" ceramic urn vase",24,5 White Lilies; 8 White Roses; 3 White Hydrangea; 8 Seeded Eucalyptus,white cream green,Soft white focal mass with lily height for funeral-home and home delivery.,"Ultra-realistic professional product photograph of Peaceful White Tribute, finished classic sympathy floral arrangement in 8"" ceramic urn vase, white cream green palette, centered composition, clean white studio background, completed vase arrangement, no people, no landscapes, no computers, no tools",124.99
SYM-02-COMFORT-GRACE,Comfort and Grace,soft,Sympathy,Sympathy,"8"" cylinder vase",22,6 Cream Roses; 5 White Stock; 6 White Carnations; 5 Italian Ruscus,cream white sage,Stock adds fragrance; cream roses keep the tone gentle and respectful.,"Ultra-realistic professional product photograph of Comfort and Grace, finished soft sympathy floral arrangement in 8"" cylinder vase, cream white sage palette, centered composition, clean white studio background, completed vase arrangement, no people, no landscapes, no computers, no tools",109.99
SYM-03-SERENITY-GARDEN,Serenity Garden Vase,calm,Sympathy,Sympathy,"8"" glass cylinder vase",20,2 White Hydrangea; 6 White Roses; 4 White Alstroemeria; 8 Seeded Eucalyptus,white green,Hydrangea body with restrained rose accents — serene without feeling sparse.,"Ultra-realistic professional product photograph of Serenity Garden Vase, finished calm sympathy floral arrangement in 8"" glass cylinder vase, white green palette, centered composition, clean white studio background, completed vase arrangement, no people, no landscapes, no computers, no tools",119.99
SYM-04-GENTLE-REMEMBRANCE,Gentle Remembrance,classic,Sympathy,Sympathy,compote vase,23,4 White Lilies; 6 Blush Roses; 5 White Carnations; 8 Salal,white blush green,Lilies for height; blush roses soften an all-white sympathy palette.,"Ultra-realistic professional product photograph of Gentle Remembrance, finished classic sympathy floral arrangement in compote vase, white blush green palette, centered composition, clean white studio background, completed vase arrangement, no people, no landscapes, no computers, no tools",114.99
SYM-05-CLASSIC-WHITE,Classic White Sympathy,classic,Sympathy,Sympathy,"8"" cylinder vase",26,10 White Roses; 8 White Carnations; 4 White Snapdragons; 4 Leatherleaf,white green,Staff-friendly classic white recipe with long-lasting carnations.,"Ultra-realistic professional product photograph of Classic White Sympathy, finished classic sympathy floral arrangement in 8"" cylinder vase, white green palette, centered composition, clean white studio background, completed vase arrangement, no people, no landscapes, no computers, no tools",99.99
SYM-06-SOFT-BLUSH,Soft Blush Comfort,feminine,Sympathy,Sympathy,"8"" ceramic vase",21,5 Blush Roses; 6 White Roses; 5 Blush Carnations; 5 Eucalyptus,blush cream green,Blush tones offer warmth while staying appropriate for sympathy.,"Ultra-realistic professional product photograph of Soft Blush Comfort, finished feminine sympathy floral arrangement in 8"" ceramic vase, blush cream green palette, centered composition, clean white studio background, completed vase arrangement, no people, no landscapes, no computers, no tools",104.99
SYM-07-MEMORIAL-LILY,Memorial Lily Vase,reverent,Sympathy,Sympathy,urn vase,19,6 White Lilies; 5 White Roses; 4 White Stock; 4 Pittosporum,white green,Lily-forward design for traditional memorial services.,"Ultra-realistic professional product photograph of Memorial Lily Vase, finished reverent sympathy floral arrangement in urn vase, white green palette, centered composition, clean white studio background, completed vase arrangement, no people, no landscapes, no computers, no tools",129.99
SYM-08-PEACEFUL-MEADOW,Peaceful Meadow Jar,rustic,Sympathy,Sympathy,quart mason jar,18,8 White Daisies; 5 White Stock; 3 White Carnations; 2 Eucalyptus,white yellow green,Approachable mason jar sympathy design for home and office.,"Ultra-realistic professional product photograph of Peaceful Meadow Jar, finished rustic sympathy floral arrangement in quart mason jar, white yellow green palette, centered composition, clean white studio background, completed vase arrangement, no people, no landscapes, no computers, no tools",79.99
SYM-09-ETERNAL-LIGHT,Eternal Light Bowl,modern,Sympathy,Sympathy,bubble bowl vase,20,6 White Roses; 4 White Lilies; 5 White Alstroemeria; 5 Bear Grass,white green,Low bubble bowl silhouette suits table and altar placements.,"Ultra-realistic professional product photograph of Eternal Light Bowl, finished modern sympathy floral arrangement in bubble bowl vase, white green palette, centered composition, clean white studio background, completed vase arrangement, no people, no landscapes, no computers, no tools",112.99
SYM-10-QUIET-STRENGTH,Quiet Strength,calm,Sympathy,Sympathy,"8"" cylinder vase",22,2 White Hydrangea; 7 Cream Roses; 5 White Carnations; 8 Seeded Eucalyptus,cream white green,Hydrangea volume with cream roses — substantial without bright color.,"Ultra-realistic professional product photograph of Quiet Strength, finished calm sympathy floral arrangement in 8"" cylinder vase, cream white green palette, centered composition, clean white studio background, completed vase arrangement, no people, no landscapes, no computers, no tools",118.99
